country_code,country_name,year,value
USA,United States,1960,2890696.1
USA,United States,1961,2880505.507
USA,United States,1962,2987207.873
USA,United States,1963,3119230.874
USA,United States,1964,3255995.306
USA,United States,1965,3390922.571
USA,United States,1966,3561878.111
USA,United States,1967,3695708.943
USA,United States,1968,3831354.94
USA,United States,1969,4024748.853
USA,United States,1970,4328904.501
USA,United States,1971,4356770.034
USA,United States,1972,4564952.958
USA,United States,1973,4770194.948
USA,United States,1974,4598487.673
USA,United States,1975,4406329.539
USA,United States,1976,4613100.668
USA,United States,1977,4742292.745
USA,United States,1978,4890861.25
USA,United States,1979,4901796.244
USA,United States,1980,4723209.677
USA,United States,1981,4535800.308
USA,United States,1982,4306748.487
USA,United States,1983,4341878.347
USA,United States,1984,4475192.132
USA,United States,1985,4492555.377
USA,United States,1986,4495463.308
USA,United States,1987,4688373.177
USA,United States,1988,4892526.068
USA,United States,1989,4955081.421
USA,United States,1990,4844520.0
USA,United States,1991,4807500.0
USA,United States,1992,4879630.0
USA,United States,1993,4995210.0
USA,United States,1994,5066810.0
USA,United States,1995,5117040.0
USA,United States,1996,5273490.0
USA,United States,1997,5543350.0
USA,United States,1998,5590540.0
USA,United States,1999,5609020.0
USA,United States,2000,5775810.0
USA,United States,2001,5748260.0
USA,United States,2002,5593029.78515625
USA,United States,2003,5658990.234375
USA,United States,2004,5738290.0390625
USA,United States,2005,5753490.234375
USA,United States,2006,5653080.078125
USA,United States,2007,5736319.82421875
USA,United States,2008,5558379.8828125
USA,United States,2009,5156430.17578125
USA,United States,2010,5392109.86328125
USA,United States,2011,5173600.09765625
USA,United States,2012,4956060.05859375
USA,United States,2013,5092100.09765625
USA,United States,2014,5107209.9609375
USA,United States,2015,4990709.9609375
USA,United States,2016,4894500.0
USA,United States,2017,4819370.1171875
USA,United States,2018,4975310.05859375
USA,United States,2019,4817720.21484375